Nome produto;Imagem principal;Imagem 2;Imagem 3;Imagem 4;Marca;Modelo;Imagens adicionais;Nome categoria
Incubadora com aquecimento, resfriamento, fotoperíodo e controle de umidade relativa - BOD-I-ARFU;https://images.tcdn.com.br/img/img_prod/1357340/incubadora_com_aquecimento_resfriamento_fotoperiodo_e_controle_de_umidade_relativa_bod_i_arfu_7_1_2a47a6e4db93ac9a06c1e903155ce683.png;https://images.tcdn.com.br/img/img_prod/1357340/incubadora_com_aquecimento_resfriamento_fotoperiodo_e_controle_de_umidade_relativa_bod_i_arfu_7_2_ed0690d1a0b4d0f89d9952cb8a258bf3.png;https://images.tcdn.com.br/img/img_prod/1357340/incubadora_com_aquecimento_resfriamento_fotoperiodo_e_controle_de_umidade_relativa_bod_i_arfu_7_3_60078947631975043f97e41a9683bd6f.png;https://images.tcdn.com.br/img/img_prod/1357340/incubadora_com_aquecimento_resfriamento_fotoperiodo_e_controle_de_umidade_relativa_bod_i_arfu_7_4_ede88e93d03816d81b9be3992bf55502.png;Anco;BOD-I-ARFU;https://images.tcdn.com.br/img/img_prod/1357340/incubadora_com_aquecimento_resfriamento_fotoperiodo_e_controle_de_umidade_relativa_bod_i_arfu_7_5_29ee8d5f88a97b7cf85548c18210171e.png, https://images.tcdn.com.br/img/img_prod/1357340/incubadora_com_aquecimento_resfriamento_fotoperiodo_e_controle_de_umidade_relativa_bod_i_arfu_7_6_d984dd5540ace7d7172cb3a666d50a8b.png;Equipamentos
Pescador de Barras Magnéticas - 20619.01B;https://images.tcdn.com.br/img/img_prod/1357340/pescador_de_barras_magneticas_20619_01b_13963_1_0a76e8627b5fc9b72d91e3298b56bb8b.png;;;;Satra;20619.01B;;Ferragens
Agitador Vortex Digital até 2,800RPM Velocidade regulável  - VX-28-DIG-BI;https://images.tcdn.com.br/img/img_prod/1357340/agitador_vortex_digital_at_2800rpm_velocidade_regu_1_20250827135202_275ebc6c90b9.jpg;https://images.tcdn.com.br/img/img_prod/1357340/agitador_vortex_digital_ate_2_800rpm_velocidade_regulavel_vx_28_dig_bi_14091_1_2696b255defdb7047aea5f555c5d7bbe.png;;;Satra;VX-28-DIG-BI;;Equipamentos
Analisador de Umidade de Halogênio | AUH16-1;https://images.tcdn.com.br/img/img_prod/1357340/analisador_de_umidade_de_halogenio_auh16_1_14108_1_4e53d35bca1473a3f52e2634dd07603c.png;;;;Bioscale;AUH16-1;;Equipamentos
Bomba de Vácuo tipo Membrana - VAC26-BI;https://images.tcdn.com.br/img/img_prod/1357340/bomba_de_vacuo_tipo_membrana_vac26_bi_14253_1_4f648ff06f2f9c23cb370197b2592023.png;;;;Satra;VAC26-BI;;Equipamentos
Bomba de Vácuo Tipo Membrana 1/2hp Fluxo de Ar de 128~135L/min - VAC29-BI;https://images.tcdn.com.br/img/img_prod/1357340/bomba_de_vacuo_tipo_membrana_1_3hp_fluxo_de_ar_de_128_135l_min_vac29_bi_14254_1_d258faac82a0085b33bb4d0a9da5b380.png;https://images.tcdn.com.br/img/img_prod/1357340/bomba_de_vacuo_tipo_membrana_1_3hp_fluxo_de_ar_de_128_135l_min_vac29_bi_14254_2_80ff5db6d19598a3272df8e34df72016.png;;;Satra;VAC29-BI;;Equipamentos
Bomba de Vácuo Tipo Pistola 1/4hp Fluxo de Ar de 35~40L/min com Compressor - VAC30W;https://images.tcdn.com.br/img/img_prod/1357340/bomba_de_vacuo_tipo_pistola_1_4hp_fluxo_de_ar_de_35_40l_min_com_compressor_vac30w_14255_1_cdae6aceb1c72c6e35adfb71199380d3.png;https://images.tcdn.com.br/img/img_prod/1357340/bomba_de_vacuo_tipo_pistola_1_4hp_fluxo_de_ar_de_35_40l_min_com_compressor_vac30w_14255_2_60e3476e364d8d75bdadbe11ea4bd9c4.png;https://images.tcdn.com.br/img/img_prod/1357340/bomba_de_vacuo_tipo_pistola_1_4hp_fluxo_de_ar_de_35_40l_min_com_compressor_vac30w_14255_3_2132fc3b61e1a3baa3dafd358567d6aa.png;https://images.tcdn.com.br/img/img_prod/1357340/bomba_de_vacuo_tipo_pistola_1_4hp_fluxo_de_ar_de_35_40l_min_com_compressor_vac30w_14255_4_121c8a13591d4a524bc3174781db51e9.png;Satra;VAC30W;https://images.tcdn.com.br/img/img_prod/1357340/bomba_de_vacuo_tipo_pistola_1_4hp_fluxo_de_ar_de_35_40l_min_com_compressor_vac30w_14255_5_dd9d4d55126f3b6761a399f122c19c46.png;Equipamentos
Centrífuga Digital com Motor de Indução até 3500rpm para Petróleo - DT-3500-BI;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_de_inducao_ate_3500rpm_para_petroleo_dt_3500_bi_14369_1_3609828adbab795bebdb31f62a9e9c66.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_de_inducao_ate_3500rpm_para_petroleo_dt_3500_bi_14369_2_b8b8f55797269242d3e35aa2a3ed2183.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_de_inducao_ate_3500rpm_para_petroleo_dt_3500_bi_14369_3_1d16f6f0dce93f970205ca8e5bda8a26.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_de_inducao_ate_3500rpm_para_petroleo_dt_3500_bi_14369_4_0a0d6b2035747b029411d3b225f1f1d4.png;Daiki;DT-3500-BI;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_de_inducao_ate_3500rpm_para_petroleo_dt_3500_bi_14369_5_c30c650674c356bad42d442f2182ee1e.png;Equipamentos
Centrífuga Digital até 4000rpm, LCD,12x10mL - DT-4000-12-BI;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_ate_4000rpm_lcd_12x10ml_dt_4000_12_bi_14371_1_6e002ec49791e80ea5bc2c72bc9b03af.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_ate_4000rpm_lcd_12x10ml_dt_4000_12_bi_14371_2_5cb9f0d14cbf68fbe3b084f3da5d5585.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_ate_4000rpm_lcd_12x10ml_dt_4000_12_bi_14371_3_035a9b1d04ad28a2b8cdcc71d87271a3.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_ate_4000rpm_lcd_12x10ml_dt_4000_12_bi_14371_4_594f87b1e5e9016acf280baaa4e05947.png;Daiki;DT-4000-12-BI;;Equipamentos
Centrífuga Digital com Motor por Indução até 4500rpm Multirrotores - DT-4500;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_por_inducao_ate_4500rpm_multirrotores_dt_4500_14378_1_e3ed509c496490985089acd97d2137e9.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_por_inducao_ate_4500rpm_multirrotores_dt_4500_14378_2_04aee2c775f780cbb28b37ec1fdf470c.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_por_inducao_ate_4500rpm_multirrotores_dt_4500_14378_3_54d1bd8bcfab7087a5b292e467edf5c8.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_com_motor_por_inducao_ate_4500rpm_multirrotores_dt_4500_14378_4_476e8190758245411f76dbfb38d9d2ea.png;Daiki;DT-4500;;Equipamentos
